#Generated by  MIG Version 1.9
#Coregen 14.5 - Build Number P.20131013 on 周五 三月 3 14:34:39 2017
#FPGA Part  xc7k325t-ffg900-2


IO Bank,Pin Number,Signal Name,IO Standard,Direction,Slew Rate,DiffPair Type,DiffPair Signal
34,AD3,ddr3_dq[0],SSTL15_T_DCI,INOUT,FAST,,
34,AC2,ddr3_dq[1],SSTL15_T_DCI,INOUT,FAST,,
34,AC1,ddr3_dq[2],SSTL15_T_DCI,INOUT,FAST,,
34,AC5,ddr3_dq[3],SSTL15_T_DCI,INOUT,FAST,,
34,AC4,ddr3_dq[4],SSTL15_T_DCI,INOUT,FAST,,
34,AD6,ddr3_dq[5],SSTL15_T_DCI,INOUT,FAST,,
34,AE6,ddr3_dq[6],SSTL15_T_DCI,INOUT,FAST,,
34,AC7,ddr3_dq[7],SSTL15_T_DCI,INOUT,FAST,,
34,AF2,ddr3_dq[8],SSTL15_T_DCI,INOUT,FAST,,
34,AE1,ddr3_dq[9],SSTL15_T_DCI,INOUT,FAST,,
34,AF1,ddr3_dq[10],SSTL15_T_DCI,INOUT,FAST,,
34,AE4,ddr3_dq[11],SSTL15_T_DCI,INOUT,FAST,,
34,AE3,ddr3_dq[12],SSTL15_T_DCI,INOUT,FAST,,
34,AE5,ddr3_dq[13],SSTL15_T_DCI,INOUT,FAST,,
34,AF5,ddr3_dq[14],SSTL15_T_DCI,INOUT,FAST,,
34,AF6,ddr3_dq[15],SSTL15_T_DCI,INOUT,FAST,,
34,AH4,ddr3_dq[16],SSTL15_T_DCI,INOUT,FAST,,
34,AJ4,ddr3_dq[17],SSTL15_T_DCI,INOUT,FAST,,
34,AH6,ddr3_dq[18],SSTL15_T_DCI,INOUT,FAST,,
34,AH5,ddr3_dq[19],SSTL15_T_DCI,INOUT,FAST,,
34,AJ2,ddr3_dq[20],SSTL15_T_DCI,INOUT,FAST,,
34,AJ1,ddr3_dq[21],SSTL15_T_DCI,INOUT,FAST,,
34,AK1,ddr3_dq[22],SSTL15_T_DCI,INOUT,FAST,,
34,AJ3,ddr3_dq[23],SSTL15_T_DCI,INOUT,FAST,,
34,AF7,ddr3_dq[24],SSTL15_T_DCI,INOUT,FAST,,
34,AG7,ddr3_dq[25],SSTL15_T_DCI,INOUT,FAST,,
34,AJ6,ddr3_dq[26],SSTL15_T_DCI,INOUT,FAST,,
34,AK6,ddr3_dq[27],SSTL15_T_DCI,INOUT,FAST,,
34,AJ8,ddr3_dq[28],SSTL15_T_DCI,INOUT,FAST,,
34,AK8,ddr3_dq[29],SSTL15_T_DCI,INOUT,FAST,,
34,AK5,ddr3_dq[30],SSTL15_T_DCI,INOUT,FAST,,
34,AK4,ddr3_dq[31],SSTL15_T_DCI,INOUT,FAST,,
